max_depth,min_samples_leaf,n_estimators,oob_score,classifier_score,ga_timetaken,hybrid_md,hybrid_msl,hybrid_ne,hybrid_oob_score,sa_timetaken,hybrid_timetaken
17,19,12,0.708994708994709,0.654320987654321,13.712285280227661,11,19,14,0.7142857142857143,46.15887093544006,60.003971338272095
15,5,14,0.6613756613756614,0.654320987654321,8.63401484489441,8,20,14,0.7142857142857143,49.76159977912903,58.47742772102356
21,14,9,0.7037037037037037,0.6172839506172839,10.028571367263794,17,19,13,0.7142857142857143,47.47644257545471,57.61035394668579
10,19,14,0.7142857142857143,0.6419753086419753,14.673628330230713,18,20,14,0.7142857142857143,47.86289668083191,62.6875536441803
7,5,7,0.6772486772486772,0.6296296296296297,11.272930145263672,18,19,13,0.7142857142857143,50.06923198699951,61.45382261276245
13,5,7,0.6772486772486772,0.6296296296296297,7.905280590057373,4,20,14,0.7142857142857143,48.670228004455566,56.65011668205261
14,20,15,0.708994708994709,0.6419753086419753,16.057838201522827,9,19,13,0.7142857142857143,55.08734440803528,71.31373691558838
4,2,5,0.6772486772486772,0.6049382716049383,5.572425603866577,6,19,13,0.7142857142857143,47.97650909423828,53.60294270515442
16,14,9,0.7037037037037037,0.6172839506172839,11.316633224487305,6,19,13,0.7142857142857143,47.03030753135681,58.46051740646362
20,21,13,0.708994708994709,0.6419753086419753,13.461581945419312,20,19,13,0.7142857142857143,49.70631194114685,63.30249547958374
9,13,10,0.6984126984126984,0.6172839506172839,8.278188467025757,4,19,13,0.7142857142857143,53.64937734603882,62.01050877571106
10,19,15,0.708994708994709,0.6419753086419753,12.88129448890686,8,19,14,0.7142857142857143,49.01975703239441,62.03477072715759
15,20,14,0.7142857142857143,0.6419753086419753,14.010810613632202,15,19,13,0.7142857142857143,49.65259027481079,63.8045699596405
9,13,10,0.6984126984126984,0.6172839506172839,10.954970598220825,16,19,13,0.7142857142857143,46.15834188461304,57.217350482940674
27,20,15,0.708994708994709,0.6419753086419753,16.158279180526733,9,19,13,0.7142857142857143,48.0188090801239,64.50633025169373
8,13,3,0.6613756613756614,0.6049382716049383,6.5604541301727295,6,19,14,0.7142857142857143,45.61471509933472,52.23705530166626
17,20,12,0.7037037037037037,0.654320987654321,12.456828117370605,9,20,14,0.7142857142857143,52.15624403953552,64.73312163352966
15,14,9,0.7037037037037037,0.6172839506172839,12.120405435562134,12,19,13,0.7142857142857143,51.44763398170471,63.680073738098145
6,10,9,0.6666666666666666,0.5925925925925926,9.315211296081543,20,19,14,0.7142857142857143,46.87691783905029,56.280141830444336
11,14,10,0.6931216931216931,0.6419753086419753,16.009235620498657,13,19,13,0.7142857142857143,52.473647117614746,68.65292954444885
17,19,15,0.708994708994709,0.6419753086419753,14.15166687965393,2,19,14,0.7142857142857143,52.284390687942505,66.58797883987427
21,19,13,0.7142857142857143,0.654320987654321,13.404467344284058,7,19,13,0.7142857142857143,44.03412628173828,57.57665228843689
17,19,14,0.7142857142857143,0.6419753086419753,11.249319314956665,16,20,14,0.7142857142857143,41.6994845867157,53.061012744903564
20,16,13,0.6772486772486772,0.6419753086419753,9.795626878738403,20,20,14,0.7142857142857143,45.302327394485474,55.194013833999634
23,19,13,0.7142857142857143,0.654320987654321,13.17630934715271,20,20,14,0.7142857142857143,43.667486906051636,56.97247362136841
12,15,9,0.6984126984126984,0.6172839506172839,11.347055196762085,17,13,11,0.6984126984126984,43.65666484832764,55.12394905090332
11,14,9,0.7037037037037037,0.6172839506172839,10.13076400756836,8,19,14,0.7142857142857143,45.137834787368774,55.37263894081116
14,20,14,0.7142857142857143,0.6419753086419753,13.502628326416016,16,14,9,0.7037037037037037,54.36333465576172,67.99823355674744
6,15,11,0.6984126984126984,0.654320987654321,13.209859609603882,6,19,13,0.7142857142857143,52.82095718383789,66.16708016395569
8,21,15,0.6984126984126984,0.6296296296296297,14.716816425323486,19,20,14,0.7142857142857143,49.788132429122925,64.68900322914124
14,19,14,0.7142857142857143,0.6419753086419753,13.307244777679443,4,19,13,0.7142857142857143,52.57741045951843,66.0350272655487
22,19,15,0.708994708994709,0.6419753086419753,14.87924337387085,18,19,13,0.7142857142857143,43.23929500579834,58.26258611679077
20,19,13,0.7142857142857143,0.654320987654321,12.598544359207153,15,20,14,0.7142857142857143,41.71412014961243,54.43398571014404
14,22,13,0.708994708994709,0.654320987654321,12.699089527130127,20,19,13,0.7142857142857143,322.4546649456024,335.2817997932434
30,19,14,0.7142857142857143,0.6419753086419753,15.285136699676514,9,19,14,0.7142857142857143,44.24936556816101,59.718560218811035
16,20,14,0.7142857142857143,0.6419753086419753,13.903824090957642,7,20,14,0.7142857142857143,44.8929009437561,58.941277503967285
19,15,9,0.6984126984126984,0.6172839506172839,9.508436918258667,18,19,13,0.7142857142857143,45.70492672920227,55.30941438674927
2,14,11,0.6878306878306878,0.654320987654321,13.986570596694946,8,19,14,0.7142857142857143,45.17173194885254,59.29741096496582
7,15,10,0.6984126984126984,0.654320987654321,10.919147253036499,11,19,14,0.7142857142857143,45.65060210227966,56.67727065086365
15,5,5,0.671957671957672,0.5925925925925926,6.927530527114868,2,19,14,0.7142857142857143,44.65281105041504,51.64772391319275
14,19,15,0.708994708994709,0.6419753086419753,14.842460870742798,14,19,13,0.7142857142857143,42.115487813949585,57.10445976257324
16,14,9,0.7037037037037037,0.6172839506172839,10.257863521575928,9,15,11,0.6984126984126984,43.08019781112671,53.43904995918274
16,19,6,0.6825396825396826,0.6296296296296297,7.816330671310425,13,19,13,0.7142857142857143,44.327911615371704,52.2194504737854
18,23,9,0.6984126984126984,0.6296296296296297,10.320392608642578,16,20,14,0.7142857142857143,46.78623604774475,57.206674337387085
22,14,9,0.7037037037037037,0.6172839506172839,10.37361741065979,19,19,13,0.7142857142857143,47.510411500930786,57.98394751548767
4,13,11,0.6984126984126984,0.6419753086419753,12.045159816741943,7,19,19,0.6984126984126984,45.723604917526245,57.88472652435303
2,2,13,0.6613756613756614,0.654320987654321,7.97431206703186,14,19,14,0.7142857142857143,49.38375473022461,57.43258047103882
21,19,12,0.708994708994709,0.654320987654321,14.940113067626953,6,19,14,0.7142857142857143,53.659955739974976,68.74544978141785
16,19,14,0.7142857142857143,0.6419753086419753,15.778925895690918,16,19,13,0.7142857142857143,55.50593900680542,71.44867730140686
9,13,15,0.6825396825396826,0.6296296296296297,11.901170253753662,14,19,13,0.7142857142857143,51.27289605140686,63.311885356903076
10,18,7,0.671957671957672,0.6172839506172839,11.800296545028687,4,19,14,0.7142857142857143,57.21176815032959,69.11620736122131
